month,year,AirPtCd,minTmpF,maxTmpF,avgMinTmpF,avgMaxTmpF,avgTmpF,avgTmpDiffF,avgPrecipIn,maxWindMPH,avgWindMPH,numSunDay,numDay,city,state,longitude,latitude
Jul,2015.0,KCEF,48,92,58.903225806451616,83.54838709677419,71.06451612903226,24.64516129032258,0.13161290322580646,22,13.516129032258064,14.0,31.0,Springfield,Massachusetts,-72.5667,42.1
Jul,2015.0,KCHS,70,99,74.12903225806451,92.48387096774194,83.51612903225806,18.35483870967742,0.2859259259259259,39,20.419354838709676,5.0,31.0,Charleston,South Carolina,-79.9333,32.7833
Jul,2015.0,KCLT,67,99,70.87096774193549,93.16129032258064,82.29032258064517,22.29032258064516,0.050416666666666665,30,17.516129032258064,2.0,31.0,Charlotte,North Carolina,-80.8333,35.2333
Jul,2015.0,KCNM,64,106,70.19354838709677,99.2258064516129,84.03225806451613,29.032258064516128,0.04161290322580645,32,18.29032258064516,26.0,31.0,Carlsbad,New Mexico,-104.25,32.4333
Jul,2015.0,KCPS,60,98,70.53333333333333,88.6,79.26666666666667,18.066666666666666,0.14066666666666666,29,12.133333333333333,20.0,30.0,St Louis,Missouri,-90.2,38.5833
Jul,2015.0,KCQT,62,92,65.64516129032258,81.64516129032258,73.87096774193549,16.0,0.012666666666666666,13,9.32258064516129,11.0,31.0,Los Angeles,California,-118.25,34.05
Jul,2015.0,KCRW,58,93,66.19354838709677,84.61290322580645,75.6774193548387,18.419354838709676,0.2789285714285714,30,14.64516129032258,3.0,31.0,Charleston,West Virginia,-81.6333,38.35
Jul,2015.0,KCUB,70,102,74.48387096774194,95.54838709677419,85.29032258064517,21.06451612903226,0.08580645161290322,29,13.290322580645162,22.0,31.0,Columbia,South Carolina,-81.0333,34.0
Jul,2015.0,KCYS,47,92,54.54838709677419,81.70967741935483,68.3225806451613,27.161290322580644,0.07115384615384615,32,23.548387096774192,19.0,31.0,Cheyenne,Wyoming,-104.867,41.15
Jul,2015.0,KDAL,73,102,79.87096774193549,96.93548387096774,88.03225806451613,17.06451612903226,0.005483870967741936,24,17.161290322580644,16.0,31.0,Dallas,Texas,-96.7667,32.7667
Jul,2015.0,KDBQ,51,92,60.903225806451616,80.19354838709677,70.80645161290323,19.29032258064516,0.04285714285714286,29,16.483870967741936,20.0,31.0,Dubuque,Iowa,-90.6667,42.5167
Jul,2015.0,KDET,53,91,63.25806451612903,81.38709677419355,71.83870967741936,18.129032258064516,0.0532258064516129,22,13.161290322580646,22.0,31.0,Detroit,Michigan,-83.05,42.3333
Jul,2015.0,KDLH,48,89,58.87096774193548,79.61290322580645,69.54838709677419,20.741935483870968,0.1075,31,18.580645161290324,13.0,31.0,Duluth,Minnesota,-92.0833,46.8167
Jul,2015.0,KDMH,65,96,72.74193548387096,86.61290322580645,79.90322580645162,13.870967741935484,0.07870967741935483,NA,NaN,0.0,31.0,Baltimore,Maryland,-76.6333,39.3
Jul,2015.0,KDOV,62,93,69.03225806451613,84.2258064516129,76.58064516129032,15.193548387096774,0.06516129032258064,22,13.709677419354838,17.0,31.0,Dover,Delaware,-75.5267,39.1619
Jul,2015.0,KDSM,58,97,67.35483870967742,84.90322580645162,76.38709677419355,17.548387096774192,0.2868,40,18.06451612903226,7.0,31.0,Des Moines,Iowa,-93.6167,41.5833
Jul,2015.0,KEED,75,113,83.6774193548387,106.83870967741936,94.61290322580645,23.161290322580644,6.451612903225806e-4,52,18.967741935483872,30.0,31.0,Needles,California,-114.6,34.8333
Jul,2015.0,KELP,66,101,72.64516129032258,96.3225806451613,84.74193548387096,23.677419354838708,0.12,43,25.193548387096776,4.0,31.0,El Paso,Texas,-106.483,31.7667
Jul,2015.0,KEUG,47,105,54.83870967741935,88.2258064516129,71.74193548387096,33.38709677419355,7.142857142857143e-4,24,17.483870967741936,16.0,31.0,Eugene,Oregon,-123.083,44.05
Jul,2015.0,KEYE,56,99,66.25806451612904,83.09677419354838,74.90322580645162,16.838709677419356,0.6192857142857143,46,15.096774193548388,17.0,31.0,Indianapolis,Indiana,-86.1667,39.7667
Jul,2015.0,KEYW,76,94,81.38709677419355,90.29032258064517,86.03225806451613,8.903225806451612,0.029130434782608697,21,15.064516129032258,28.0,31.0,Key West,Florida,-81.8,24.55
Jul,2015.0,KFAR,42,91,61.645161290322584,83.45161290322581,72.80645161290323,21.806451612903224,0.09928571428571428,36,21.29032258064516,21.0,31.0,Fargo,North Dakota,-96.8,46.8667
Jul,2015.0,KFAT,62,108,69.29032258064517,96.83870967741936,83.3225806451613,27.548387096774192,0.013870967741935483,24,17.516129032258064,16.0,31.0,Fresno,California,-119.8,36.7333
Jul,2015.0,KFLG,37,84,49.83870967741935,77.58064516129032,63.935483870967744,27.741935483870968,0.09551724137931035,31,20.70967741935484,23.0,31.0,Flagstaff,Arizona,-111.683,35.2167
Jul,2015.0,KFSD,50,92,61.38709677419355,83.03225806451613,72.41935483870968,21.64516129032258,0.16115384615384615,31,18.70967741935484,11.0,31.0,Sioux Falls,South Dakota,-96.7333,43.55
Jul,2015.0,KGCK,54,105,66.09677419354838,90.06451612903226,78.2258064516129,23.967741935483872,0.2332142857142857,56,25.64516129032258,19.0,31.0,Garden City,Kansas,-100.883,37.9667
Jul,2015.0,KGEG,49,100,61.25806451612903,87.06451612903226,74.51612903225806,25.806451612903224,0.006551724137931034,30,19.677419354838708,14.0,31.0,Spokane,Washington,-117.433,47.6667
Jul,2015.0,KGJT,53,98,59.516129032258064,87.80645161290323,73.93548387096774,28.29032258064516,0.04807692307692308,40,24.29032258064516,22.0,31.0,Grand Junction,Colorado,-108.55,39.0833
Jul,2015.0,KGRR,50,90,60.16129032258065,81.35483870967742,70.96774193548387,21.193548387096776,0.07689655172413794,43,18.516129032258064,5.0,31.0,Grand Rapids,Michigan,-85.6667,42.9667
Jul,2015.0,KHKS,66,100,75.19354838709677,93.54838709677419,83.96774193548387,18.35483870967742,0.059032258064516126,21,12.129032258064516,29.0,31.0,Jackson,Mississippi,-90.2,32.3333
Jul,2015.0,KHLN,48,99,55.32258064516129,84.93548387096774,70.35483870967742,29.612903225806452,0.04740740740740741,36,21.93548387096774,19.0,31.0,Helena,Montana,-112.033,46.5833
Jul,2015.0,KHOT,69,102,74.74193548387096,93.90322580645162,84.19354838709677,19.161290322580644,0.1032258064516129,20,11.870967741935484,25.0,31.0,Hot Springs,Arkansas,-93.05,34.5167
Jul,2015.0,KHQM,50,87,56.32258064516129,71.38709677419355,64.12903225806451,15.064516129032258,0.012666666666666666,21,18.096774193548388,9.0,31.0,Hoquiam,Washington,-123.9,46.9833
Jul,2015.0,KHVN,57,91,66.03225806451613,81.83870967741936,73.64516129032258,15.806451612903226,0.04935483870967742,18,12.0,11.0,31.0,New Haven,Connecticut,-72.9167,41.3167
